From,To,Distance (m),Travel Time (1-10),Traffic Density
Bệnh viện Quận 7,"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",1799.26,10,low
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",Bệnh viện Quận 7,1799.26,10,medium
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","170A Lâm Văn Bền, KP4,",1799.29,10,high
"170A Lâm Văn Bền, KP4,","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",1799.29,10,medium
Cà Phê Long Béo,Bệnh viện Quận 7,1800.57,10,medium
Bệnh viện Quận 7,Cà Phê Long Béo,1800.57,10,medium
Chợ Cư xá Ngân hàng,Tạp Hoá Ngọc Hân,1800.63,10,low
Tạp Hoá Ngọc Hân,Chợ Cư xá Ngân hàng,1800.63,10,medium
Trường Tiểu học Nguyễn Văn Hưởng,803/23/10 Huỳnh Tấn Phát,1800.76,10,high
803/23/10 Huỳnh Tấn Phát,Trường Tiểu học Nguyễn Văn Hưởng,1800.76,10,medium
Sunrise Cityview - Sảnh A,불막열삼,1802.05,10,low
불막열삼,Sunrise Cityview - Sảnh A,1802.05,10,high
McDonald's,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",1802.57,10,medium
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",McDonald's,1802.57,10,medium
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Mỹ Khang,1802.87,10,low
Mỹ Khang,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1802.87,10,low
"20/10 đường số 2,",불막열삼,1803.33,10,medium
불막열삼,"20/10 đường số 2,",1803.33,10,medium
Hương Sen Spa,McDonald's,1804.54,10,low
McDonald's,Hương Sen Spa,1804.54,10,medium
"163 đường 45,","1489 Nguyễn Văn Linh, Tòa IPC",1805.96,10,low
"1489 Nguyễn Văn Linh, Tòa IPC","163 đường 45,",1805.96,10,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,","78B đường số 43, khu phố 4",1807.75,10,low
"78B đường số 43, khu phố 4","Chung cư mỹ cảnh, đường Phạm Thái Bường,",1807.75,10,low
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1627/50/3a Đường Đào Trí,1811.12,10,low
1627/50/3a Đường Đào Trí,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1811.12,10,low
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",McDonald's,1811.16,10,low
McDonald's,"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1811.16,10,high
"163 đường 45,",Tịnh xá Ngọc Quy,1811.76,10,low
Tịnh xá Ngọc Quy,"163 đường 45,",1811.76,10,medium
43 Đường Số 43,Si Cafe,1812.78,10,low
Si Cafe,43 Đường Số 43,1812.78,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1814.61,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",E50 Đường Số 9 Khu Dân Cư Him Lam,1814.61,10,medium
"36A, Đường 81,","55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1815.21,10,high
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,","36A, Đường 81,",1815.21,10,medium
British English Club,Phan Huy Thục,1815.7,10,low
Phan Huy Thục,British English Club,1815.7,10,low
Nhà Mẫu Phú Mỹ Hưng,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1816.18,10,medium
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Nhà Mẫu Phú Mỹ Hưng,1816.18,10,medium
Tân Thuận Tây,"20/10 đường số 2,",1816.32,10,low
"20/10 đường số 2,",Tân Thuận Tây,1816.32,10,low
"163 đường 45,",E50 Đường Số 9 Khu Dân Cư Him Lam,1817.59,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,"163 đường 45,",1817.59,10,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",43 Đường Số 43,1822.45,10,medium
43 Đường Số 43,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1822.45,10,low
Nhà Mẫu Phú Mỹ Hưng,À La Main,1823.97,10,medium
À La Main,Nhà Mẫu Phú Mỹ Hưng,1823.97,10,medium
Bia Góc,645/51E Đ. Trần Xuân Soạn,1826.09,10,low
645/51E Đ. Trần Xuân Soạn,Bia Góc,1826.09,10,medium
Quán Cơm Tâm Mộc,"170A Lâm Văn Bền, KP4,",1827.45,10,high
"170A Lâm Văn Bền, KP4,",Quán Cơm Tâm Mộc,1827.45,10,low
Sunrise Cityview - Sảnh A,Hương Sen Spa,1827.5,10,low
Hương Sen Spa,Sunrise Cityview - Sảnh A,1827.5,10,medium
Bệnh viện Quận 7,Quán Ăn An Ký,1827.59,10,high
Quán Ăn An Ký,Bệnh viện Quận 7,1827.59,10,high
WinMart+,McDonald's,1830.28,10,low
McDonald's,WinMart+,1830.28,10,low
McDonald's,Quán Rắn Hương Phù Sa,1830.5,10,medium
Quán Rắn Hương Phù Sa,McDonald's,1830.5,10,low
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",Nhà Mẫu Phú Mỹ Hưng,1830.68,10,medium
Nhà Mẫu Phú Mỹ Hưng,"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",1830.68,10,medium
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","78B đường số 43, khu phố 4",1831.03,10,medium
"78B đường số 43, khu phố 4","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",1831.03,10,low
Bệnh viện Quận 7,Nhà Thuốc An Khang,1831.26,10,medium
Nhà Thuốc An Khang,Bệnh viện Quận 7,1831.26,10,low
Mai Văn Vĩnh,Trường Quốc tế Nam Sài Gòn,1831.78,10,low
Trường Quốc tế Nam Sài Gòn,Mai Văn Vĩnh,1831.78,10,high
Parkson,Đầu bến Tân Quy,1832.38,10,low
Đầu bến Tân Quy,Parkson,1832.38,10,low
Bệnh viện Quận 7,Quán Ăn An Ký,1832.78,10,low
Quán Ăn An Ký,Bệnh viện Quận 7,1832.78,10,low
"803/23/10 Huỳnh Tấn Phát,",Saigon Riverside Complex,1833.21,10,low
Saigon Riverside Complex,"803/23/10 Huỳnh Tấn Phát,",1833.21,10,low
호치민 지구촌 교회,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1834.52,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",호치민 지구촌 교회,1834.52,10,medium
British English Club,Chợ Cư xá Ngân hàng,1835.45,10,low
Chợ Cư xá Ngân hàng,British English Club,1835.45,10,low
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Circle K,1836.02,10,high
Circle K,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1836.02,10,low
Nhà Mẫu Phú Mỹ Hưng,541 Huỳnh Tấn Phát,1836.14,10,medium
541 Huỳnh Tấn Phát,Nhà Mẫu Phú Mỹ Hưng,1836.14,10,low
803/23/10 Huỳnh Tấn Phát,Saigon Riverside Complex,1836.17,10,high
Saigon Riverside Complex,803/23/10 Huỳnh Tấn Phát,1836.17,10,low
"KC 52/13 HUYNH TAN PHAT KP3,","Toà nhà FPT đường số 8,",1839.35,10,low
"Toà nhà FPT đường số 8,","KC 52/13 HUYNH TAN PHAT KP3,",1839.35,10,low
Chợ Cư xá Ngân hàng,Thiên Sơn Plaza,1840.42,10,low
Thiên Sơn Plaza,Chợ Cư xá Ngân hàng,1840.42,10,medium
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,","B4 Era Town, đường 15B,",1840.79,10,medium
"B4 Era Town, đường 15B,","Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",1840.79,10,low
Quận 7,"78B đường số 43, khu phố 4",1841.13,10,low
"78B đường số 43, khu phố 4",Quận 7,1841.13,10,low
Cà Phê Long Béo,Bệnh viện Quận 7,1841.77,10,low
Bệnh viện Quận 7,Cà Phê Long Béo,1841.77,10,low
645/51E Đ. Trần Xuân Soạn,Đại học Cảnh sát,1843.58,10,low
Đại học Cảnh sát,645/51E Đ. Trần Xuân Soạn,1843.58,10,medium
Sunrise Cityview - Sảnh A,Trung Tâm Mua Sắm Vivo City,1843.67,10,low
Trung Tâm Mua Sắm Vivo City,Sunrise Cityview - Sảnh A,1843.67,10,low
"KC 52/13 HUYNH TAN PHAT KP3,","Căn hộ 112, chung cư An Hoà 7, đường số 7,",1844.31,10,high
"Căn hộ 112, chung cư An Hoà 7, đường số 7,","KC 52/13 HUYNH TAN PHAT KP3,",1844.31,10,medium
Tân Thuận Tây,Phan Huy Thục,1845.71,10,low
Phan Huy Thục,Tân Thuận Tây,1845.71,10,low
Quán Cơm Tâm Mộc,"78B đường số 43, khu phố 4",1845.75,10,medium
"78B đường số 43, khu phố 4",Quán Cơm Tâm Mộc,1845.75,10,high
Quán Cơm Tâm Mộc,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1847.38,10,medium
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Quán Cơm Tâm Mộc,1847.38,10,high
Bệnh viện Quận 7,Nhà Thuốc An Khang,1849.18,10,low
Nhà Thuốc An Khang,Bệnh viện Quận 7,1849.18,10,medium
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,","08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1849.7,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,","Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",1849.7,10,high
Mỹ Khang,McDonald's,1849.81,10,low
Hương Sen Spa,"20/10 đường số 2,",1849.81,10,high
McDonald's,Mỹ Khang,1849.81,10,high
"20/10 đường số 2,",Hương Sen Spa,1849.81,10,medium
Mai Văn Vĩnh,Quận 7,1851.31,10,low
Quận 7,Mai Văn Vĩnh,1851.31,10,high
645/51E Đ. Trần Xuân Soạn,Đầu bến Tân Quy,1851.72,10,high
Đầu bến Tân Quy,645/51E Đ. Trần Xuân Soạn,1851.72,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",불막열삼,1851.76,10,medium
불막열삼,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1851.76,10,medium
803/23/10 Huỳnh Tấn Phát,"35/4 Hẻm 39 Đường Bùi Văn Ba,",1853.88,10,high
"35/4 Hẻm 39 Đường Bùi Văn Ba,",803/23/10 Huỳnh Tấn Phát,1853.88,10,medium
Mỹ Khang,Boutique Charmés,1854.24,10,medium
Boutique Charmés,Mỹ Khang,1854.24,10,medium
Mai Văn Vĩnh,Cửa hàng Chuồn chuồn Đỏ,1854.48,10,low
Cửa hàng Chuồn chuồn Đỏ,Mai Văn Vĩnh,1854.48,10,low
WinMart+,Trường Quốc tế Nam Sài Gòn,1855.15,10,low
Trường Quốc tế Nam Sài Gòn,WinMart+,1855.15,10,high
Bia Góc,McDonald's,1857.33,10,low
McDonald's,Bia Góc,1857.33,10,low
"803/23/10 Huỳnh Tấn Phát,","35/4 Hẻm 39 Đường Bùi Văn Ba,",1857.5,10,low
"35/4 Hẻm 39 Đường Bùi Văn Ba,","803/23/10 Huỳnh Tấn Phát,",1857.5,10,low
Hà Huy Tập,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1858.17,10,high
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Hà Huy Tập,1858.17,10,low
Hỷ Lạc Bánh Mì Chay,"Căn hộ 112, chung cư An Hoà 7, đường số 7,",1859.9,10,medium
"Căn hộ 112, chung cư An Hoà 7, đường số 7,",Hỷ Lạc Bánh Mì Chay,1859.9,10,medium
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",Parkson,1861.16,10,high
Parkson,"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1861.16,10,low
Siêu Thị K-Market,"170A Lâm Văn Bền, KP4,",1861.27,10,low
"170A Lâm Văn Bền, KP4,",Siêu Thị K-Market,1861.27,10,high
"Tòa Nhà Xưởng B,","KC 52/13 HUYNH TAN PHAT KP3,",1862.15,10,low
"KC 52/13 HUYNH TAN PHAT KP3,","Tòa Nhà Xưởng B,",1862.15,10,low
Mai Văn Vĩnh,541 Huỳnh Tấn Phát,1863.26,10,high
541 Huỳnh Tấn Phát,Mai Văn Vĩnh,1863.26,10,low
Tịnh xá Ngọc Quy,Cầu Kênh Tẻ,1863.33,10,medium
Cầu Kênh Tẻ,Tịnh xá Ngọc Quy,1863.33,10,low
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,","B4 Era Town, đường 15B,",1863.37,10,medium
"B4 Era Town, đường 15B,","Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",1863.37,10,medium
"163 đường 45,","KC 52/13 HUYNH TAN PHAT KP3,",1863.77,10,low
"KC 52/13 HUYNH TAN PHAT KP3,","163 đường 45,",1863.77,10,low
Đại học Cảnh sát,"78B đường số 43, khu phố 4",1863.87,10,low
"78B đường số 43, khu phố 4",Đại học Cảnh sát,1863.87,10,high
Nhà Mẫu Phú Mỹ Hưng,Chè Thiên Đường,1864.28,10,medium
Chè Thiên Đường,Nhà Mẫu Phú Mỹ Hưng,1864.28,10,medium
Nguyễn Thị Thập,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",1864.99,10,low
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",Nguyễn Thị Thập,1864.99,10,low
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,","78B đường số 43, khu phố 4",1865.61,10,high
"78B đường số 43, khu phố 4","số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",1865.61,10,medium
Hương Sen Spa,E50 Đường Số 9 Khu Dân Cư Him Lam,1866.49,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,Hương Sen Spa,1866.49,10,medium
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Thiên Sơn Plaza,1867.95,10,high
Thiên Sơn Plaza,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1867.95,10,low
Bệnh viện Quận 7,"KC 52/13 HUYNH TAN PHAT KP3,",1868.31,10,high
"KC 52/13 HUYNH TAN PHAT KP3,",Bệnh viện Quận 7,1868.31,10,medium
Quán Cơm Tâm Mộc,43 Đường Số 43,1868.99,10,medium
43 Đường Số 43,Quán Cơm Tâm Mộc,1868.99,10,medium
Nhà Mẫu Phú Mỹ Hưng,Trường Quốc tế Nam Sài Gòn,1869.28,10,low
Trường Quốc tế Nam Sài Gòn,Nhà Mẫu Phú Mỹ Hưng,1869.28,10,medium
Siêu Thị K-Market,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1870.93,10,high
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Siêu Thị K-Market,1870.93,10,high
"163 đường 45,","block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",1872.0,10,low
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,","163 đường 45,",1872.0,10,medium
E50 Đường Số 9 Khu Dân Cư Him Lam,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1872.97,10,high
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",E50 Đường Số 9 Khu Dân Cư Him Lam,1872.97,10,high
British English Club,E50 Đường Số 9 Khu Dân Cư Him Lam,1873.14,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,British English Club,1873.14,10,medium
Nguyễn Văn Linh,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1873.4,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Nguyễn Văn Linh,1873.4,10,low
"6/57 Trần Văn Khánh,","Toà nhà FPT đường số 8,",1875.63,10,low
"Toà nhà FPT đường số 8,","6/57 Trần Văn Khánh,",1875.63,10,medium
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,","08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1877.13,10,medium
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,","block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",1877.13,10,high
Circle K,호치민 지구촌 교회,1877.67,10,low
호치민 지구촌 교회,Circle K,1877.67,10,low
WinMart+,Circle K,1877.85,10,low
Circle K,WinMart+,1877.85,10,low
WinMart+,"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",1878.44,10,low
"55a lê văn lương khu phố 1 phường tân phong quận 7, phường tân phong, quận 7, thành phố hồ chí minh,",WinMart+,1878.44,10,low
E50 Đường Số 9 Khu Dân Cư Him Lam,불막열삼,1878.77,10,low
불막열삼,E50 Đường Số 9 Khu Dân Cư Him Lam,1878.77,10,medium
Bia Góc,Circle K,1878.84,10,medium
Circle K,Bia Góc,1878.84,10,medium
"67 Mai Văn Vĩnh,",Trường Quốc tế Nam Sài Gòn,1882.18,10,low
Trường Quốc tế Nam Sài Gòn,"67 Mai Văn Vĩnh,",1882.18,10,medium
"36A, Đường 81,",Công viên Mỹ Kim,1883.43,10,low
Công viên Mỹ Kim,"36A, Đường 81,",1883.43,10,low
Siêu Thị K-Market,"78B đường số 43, khu phố 4",1883.56,10,low
"78B đường số 43, khu phố 4",Siêu Thị K-Market,1883.56,10,high
Bệnh viện Quận 7,불막열삼,1883.94,10,low
불막열삼,Bệnh viện Quận 7,1883.94,10,medium
E50 Đường Số 9 Khu Dân Cư Him Lam,"1489 Nguyễn Văn Linh, Tòa IPC",1884.23,10,high
"1489 Nguyễn Văn Linh, Tòa IPC",E50 Đường Số 9 Khu Dân Cư Him Lam,1884.23,10,medium
"163 đường 45,",Circle K,1884.34,10,low
Circle K,"163 đường 45,",1884.34,10,low
Nhà Mẫu Phú Mỹ Hưng,"67 Mai Văn Vĩnh,",1884.93,10,medium
"67 Mai Văn Vĩnh,",Nhà Mẫu Phú Mỹ Hưng,1884.93,10,high
Nhà Thuốc An Khang,"20/10 đường số 2,",1885.1,10,medium
"20/10 đường số 2,",Nhà Thuốc An Khang,1885.1,10,medium
Hà Huy Tập,"170A Lâm Văn Bền, KP4,",1886.5,10,low
"170A Lâm Văn Bền, KP4,",Hà Huy Tập,1886.5,10,medium
Nguyễn Thị Thập,"KC 52/13 HUYNH TAN PHAT KP3,",1887.36,10,medium
"KC 52/13 HUYNH TAN PHAT KP3,",Nguyễn Thị Thập,1887.36,10,medium
McDonald's,호치민 지구촌 교회,1887.38,10,low
호치민 지구촌 교회,McDonald's,1887.38,10,low
541 Huỳnh Tấn Phát,2/2 Đường Số 79,1887.49,10,medium
2/2 Đường Số 79,541 Huỳnh Tấn Phát,1887.49,10,low
Cầu Kênh Tẻ,불막열삼,1887.68,10,high
불막열삼,Cầu Kênh Tẻ,1887.68,10,low
WinMart+,Tân Thuận Tây,1888.69,10,low
Tân Thuận Tây,WinMart+,1888.69,10,medium
Quán Rắn Hương Phù Sa,Circle K,1889.44,10,low
Circle K,Quán Rắn Hương Phù Sa,1889.44,10,low
British English Club,Him Lam Riverside,1890.66,10,medium
Him Lam Riverside,British English Club,1890.66,10,low
Katinat,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1892.35,10,high
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Katinat,1892.35,10,low
Đại Lý Sơn Nuớc Trường Đạt,Thiên Sơn Plaza,1893.39,10,medium
Thiên Sơn Plaza,Đại Lý Sơn Nuớc Trường Đạt,1893.39,10,medium
Đầu bến Tân Quy,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1894.37,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Đầu bến Tân Quy,1894.37,10,low
"67 Mai Văn Vĩnh,",Cửa hàng Chuồn chuồn Đỏ,1895.43,10,low
Cửa hàng Chuồn chuồn Đỏ,"67 Mai Văn Vĩnh,",1895.43,10,low
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Circle K,1896.35,10,medium
Circle K,"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1896.35,10,medium
Chợ Cư xá Ngân hàng,Quận 7,1896.46,10,low
Quận 7,Chợ Cư xá Ngân hàng,1896.46,10,medium
2/2 Đường Số 79,Him Lam Riverside,1897.11,10,low
Him Lam Riverside,2/2 Đường Số 79,1897.11,10,low
Boutique Charmés,Mầm non Ban Mai,1897.94,10,medium
Mầm non Ban Mai,Boutique Charmés,1897.94,10,low
Mai Văn Vĩnh,Nhà Mẫu Phú Mỹ Hưng,1899.35,10,low
Nhà Mẫu Phú Mỹ Hưng,Mai Văn Vĩnh,1899.35,10,medium
McDonald's,Tạp Hoá Ngọc Hân,1899.74,10,low
Tạp Hoá Ngọc Hân,McDonald's,1899.74,10,low
Bệnh viện Quận 7,Si Cafe,1899.93,10,medium
Si Cafe,Bệnh viện Quận 7,1899.93,10,low
Sunrise Cityview - Sảnh A,Nhà Thuốc An Khang,1900.0,10,low
Nhà Thuốc An Khang,Sunrise Cityview - Sảnh A,1900.0,10,medium
Hỷ Lạc Bánh Mì Chay,"20/10 đường số 2,",1900.01,10,high
"20/10 đường số 2,",Hỷ Lạc Bánh Mì Chay,1900.01,10,high
"36A, Đường 81,","1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",1900.66,10,medium
"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,","36A, Đường 81,",1900.66,10,medium
Parkson,"Căn hộ 112, chung cư An Hoà 7, đường số 7,",1901.05,10,medium
"Căn hộ 112, chung cư An Hoà 7, đường số 7,",Parkson,1901.05,10,low
"6/57 Trần Văn Khánh,","Tòa Nhà Xưởng B,",1902.62,10,low
"Tòa Nhà Xưởng B,","6/57 Trần Văn Khánh,",1902.62,10,high
Hương Sen Spa,Him Lam Riverside,1903.83,10,low
Him Lam Riverside,Hương Sen Spa,1903.83,10,low
645/51E Đ. Trần Xuân Soạn,"78B đường số 43, khu phố 4",1903.92,10,low
"78B đường số 43, khu phố 4",645/51E Đ. Trần Xuân Soạn,1903.92,10,medium
Trường Tiểu học Nguyễn Văn Hưởng,Circle K,1904.1,10,medium
Circle K,Trường Tiểu học Nguyễn Văn Hưởng,1904.1,10,low
43 Đường Số 43,Siêu Thị K-Market,1904.32,10,medium
Siêu Thị K-Market,43 Đường Số 43,1904.32,10,low
Bệnh viện Quận 7,불막열삼,1905.16,10,low
불막열삼,Bệnh viện Quận 7,1905.16,10,low
Bệnh viện Quận 7,Si Cafe,1905.43,10,low
Si Cafe,Bệnh viện Quận 7,1905.43,10,low
Bệnh viện Quận 7,Nguyễn Văn Linh,1906.79,10,low
Nguyễn Văn Linh,Bệnh viện Quận 7,1906.79,10,medium
"163 đường 45,","6/57 Trần Văn Khánh,",1907.65,10,low
"6/57 Trần Văn Khánh,","163 đường 45,",1907.65,10,low
Hà Huy Tập,"78B đường số 43, khu phố 4",1908.47,10,low
"78B đường số 43, khu phố 4",Hà Huy Tập,1908.47,10,low
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","67 Mai Văn Vĩnh,",1910.01,10,high
"67 Mai Văn Vĩnh,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1910.01,10,low
Thiên Sơn Plaza,Trường Tiểu học Lê Anh Xuân,1910.51,10,low
Trường Tiểu học Lê Anh Xuân,Thiên Sơn Plaza,1910.51,10,medium
"163 đường 45,",À La Main,1911.5,10,high
À La Main,"163 đường 45,",1911.5,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Him Lam Riverside,1911.59,10,high
Him Lam Riverside,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1911.59,10,low
Him Lam Riverside,불막열삼,1911.65,10,low
불막열삼,Him Lam Riverside,1911.65,10,low
Bệnh viện Quận 7,호치민 지구촌 교회,1912.19,10,medium
호치민 지구촌 교회,Bệnh viện Quận 7,1912.19,10,medium
Cà Phê Long Béo,McDonald's,1912.51,10,low
McDonald's,Cà Phê Long Béo,1912.51,10,high
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,","Tòa Nhà Xưởng B,",1913.01,10,high
"Tòa Nhà Xưởng B,","15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",1913.01,10,low
Tạp Hoá Ngọc Hân,"170A Lâm Văn Bền, KP4,",1913.26,10,low
"170A Lâm Văn Bền, KP4,",Tạp Hoá Ngọc Hân,1913.26,10,high
Đại Lý Sơn Nuớc Trường Đạt,"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",1913.48,10,low
"08 đường 10, kdc ven sông, phường tân phong, quận 7, thành phố hồ chí minh,",Đại Lý Sơn Nuớc Trường Đạt,1913.48,10,high
"36A, Đường 81,",Bệnh viện Quận 7,1915.16,10,low
Bệnh viện Quận 7,"36A, Đường 81,",1915.16,10,high
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Bệnh viện Quận 7,1916.5,10,low
Bệnh viện Quận 7,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",1916.5,10,medium
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",Trường Tiểu học Lê Anh Xuân,1917.29,10,low
Trường Tiểu học Lê Anh Xuân,"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",1917.29,10,high
Nguyễn Thị Thập,"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",1918.17,10,high
"số 14 Đường tân thuận tây, phường tân thuận tây, quận 7, thành phố hồ chí minh,",Nguyễn Thị Thập,1918.17,10,low
Bệnh viện Quận 7,Đầu bến Tân Quy,1918.25,10,medium
Đầu bến Tân Quy,Bệnh viện Quận 7,1918.25,10,low
Cầu Kênh Tẻ,Hương Sen Spa,1918.47,10,low
Hương Sen Spa,Cầu Kênh Tẻ,1918.47,10,high
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Thiên Sơn Plaza,1918.78,10,high
Thiên Sơn Plaza,"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1918.78,10,medium
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",Parkson,1918.85,10,medium
Parkson,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",1918.85,10,high
